,input
0,not ( True ) and ( True ) is
1,True and not not ( not False ) is
2,not True or False or ( False ) is
3,False or not ( True ) and False is
4,True or not False and True and False is
5,False or not not not False and True is
6,not True and ( False or True ) is
7,True and not False or ( True ) is
8,not True or ( False and True ) is
9,not True or ( True or False ) is
10,False or ( False ) and not False is
11,not False or True and False and False is
12,not True or False or not not True is
13,True and True and False and not True is
14,not not True and not True or True is
15,not not not ( True and False ) is
16,not not False and not not not False is
17,( True and not True and False ) is
18,False and False and False or not False is
19,False or ( False and not False ) is
20,True and False or ( not True ) is
21,not not ( True ) and not False is
22,not False or ( True ) and True is
23,not ( True ) or False or True is
24,( True and not not not True ) is
25,( False or not False or False ) is
26,False and False or True and not False is
27,not not False or not False or True is
28,True and not True or False or True is
29,not False or True and False or False is
30,False and ( not False ) or False is
31,not not not not ( not False ) is
32,( True ) and True or not True is
33,not True or False and False and False is
34,not not not not not not not False is
35,not True or not False and not False is
36,False or True or False and not False is
37,not ( True or True ) and False is
38,not not not not True and not True is
39,( False ) or False and not True is
40,( False and True or not False ) is
41,not not not ( False and True ) is
42,not not True and not False or True is
43,not False or True and not not True is
44,True or True or not False or False is
45,( not False and False and False ) is
46,( ( not True ) or True ) is
47,not not ( not False or True ) is
48,not True or False or ( True ) is
49,False or ( not False ) and True is
50,not False or False or ( False ) is
51,not not False or False and not True is
52,True or ( ( not True ) ) is
53,not False and not False and not False is
54,( False ) and not False and True is
55,( True ) and False or not False is
56,( not False and ( True ) ) is
57,False or not ( False ) or True is
58,True and not False and not not True is
59,not True and True and True or False is
60,not not ( False and not True ) is
61,True or not ( ( False ) ) is
62,False or not True or False or False is
63,False or not not True or not False is
64,not ( True or True or False ) is
65,False or not not not not not False is
66,not ( False ) or not not True is
67,True and not False or False and False is
68,True or ( not ( True ) ) is
69,( False or True and not True ) is
70,False or not True and True or True is
71,not not not not not not not True is
72,( not False ) and False or True is
73,False and False or not ( True ) is
74,( not False or True ) and True is
75,not ( False ) and ( False ) is
76,False or True and not not not False is
77,( True ) and True and not True is
78,( not True ) and True and False is
79,( not not True and not False ) is
80,True and ( False ) or not False is
81,not not not False or False and False is
82,not not not False and True or False is
83,True or ( True or not False ) is
84,not False or ( ( False ) ) is
85,not not ( False and not False ) is
86,not not not not True or not True is
87,False and not ( False or False ) is
88,True and True and True or not False is
89,False or not False or True and True is
90,not False and False and False or False is
91,( False ) or not False or True is
92,( not False ) or ( True ) is
93,not not ( False or not True ) is
94,False or not False or False or False is
95,False or not False and ( False ) is
96,False or ( False ) or not True is
97,not True or False and True and True is
98,True or ( True or not True ) is
99,True and not False and True or True is
100,False or not False or not not True is
101,( True or not False ) or False is
102,False or not ( True ) and True is
103,not False and not True and not False is
104,False and ( True and not False ) is
105,not False or ( False ) or True is
106,False and not ( False and True ) is
107,( True or not not not False ) is
108,False and ( False or not False ) is
109,False or not True or True and False is
110,True and not True or True and True is
111,( not False or ( True ) ) is
112,( ( not ( True ) ) ) is
113,False and False and not ( False ) is
114,not True and not True and not True is
115,not ( True or False ) or True is
116,False or ( True ) or not True is
117,False or False and False or not True is
118,True or False or not True or False is
119,not True and ( True and True ) is
120,not True and True or True and False is
121,not False or ( True or True ) is
122,not ( False or ( False ) ) is
123,not ( True or True ) and True is
124,False or not False or True or True is
125,False or False and not not not False is
126,not ( True or False or True ) is
127,( False ) or not True and False is
128,True and True and not not not False is
129,( True ) or True and not True is
130,False and False and not True and False is
131,( True ) and not True or True is
132,not not not True and False and False is
133,False and False and not not not True is
134,False and False or False or not True is
135,False or ( not ( False ) ) is
136,not True and True and not not False is
137,( False ) and ( not False ) is
138,( not True ) and True or True is
139,False and True and ( not False ) is
140,( ( True ) ) or not False is
141,not True and False or False or True is
142,True and not True and True and True is
143,( True or True or not False ) is
144,True or not False and True or True is
145,( not ( False ) or False ) is
146,True and not ( True or False ) is
147,not ( False and True ) and True is
148,not ( True and True ) or False is
149,False or not True and not not False is
150,not True and False or False and False is
151,not True or True and False or False is
152,( not ( False ) and False ) is
153,False or ( True and not True ) is
154,not False and not True or not True is
155,( False or not not not False ) is
156,( not False ) or True and False is
157,( not not True ) or not False is
158,True or not ( ( True ) ) is
159,( False ) and False or not False is
160,not False and True or ( True ) is
161,True or not not ( not False ) is
162,False and not True and False and True is
163,not not True and True and not True is
164,not False or not ( not False ) is
165,not not ( True ) or not True is
166,( True and not True and True ) is
167,True or False or not True or True is
168,not True or True and False and False is
169,True and not not not not not True is
170,not True and ( False ) and False is
171,False and False or not True and False is
172,True or False and not True and False is
173,not ( False or False or True ) is
174,not False or True or True and False is
175,not False and False or False or False is
176,( not True ) and ( False ) is
177,True and not not False and not False is
178,not ( not not False ) and True is
179,not ( not False ) and not False is
180,False or True and not False or True is
181,( not not not True and True ) is
182,False and not ( True ) or True is
183,( not True and False or True ) is
184,not ( not not True ) or False is
185,( not False ) or ( False ) is
186,not not not False and True and False is
187,True or not True or not not True is
188,not False or not not False and False is
189,not False and ( False or False ) is
190,False and True or ( not False ) is
191,False and not False and ( False ) is
192,not ( ( False and True ) ) is
193,False or ( not False ) and False is
194,False and not False or False and True is
195,not False and not not True and True is
196,True and True or False and not True is
197,not True or False and True or False is
198,True or False or not True and True is
199,False or False or not True or False is
200,False or False or True and not False is
201,( not ( True or False ) ) is
202,not False and False or True and True is
203,True and False or ( not False ) is
204,not False or not not not not True is
205,True and ( not ( True ) ) is
206,True and False and not True or False is
207,( ( not False ) ) and True is
208,not ( True ) and ( False ) is
209,True or not False and False and False is
