Unnamed: 0,input
0,"""Elias Lindholm beat the buzzer."""
1,"""John Carlson scored in the third period."""
2,"""Marcelo got on the end of a through ball."""
3,"""Deshaun Watson was called for the goal tend in the Eastern Conference Finals."""
4,"""Mookie Betts skated behind the net."""
5,"""John Tavares earned a trip to the penalty box in the Stanley Cup."""
6,"""David Silva took a throw in."""
7,"""Bryce Harper hit the back shoulder fade."""
8,"""Carles Puyol did a maradona on the defender."""
9,"""Robin Lehner launched the desperation heave."""
10,"""Carson Wentz took to the ice."""
11,"""Kwadwo Asamoah was flagged on the play."""
12,"""Jack Flaherty walked to first base in the National League Championship Series."""
13,"""Jayson Tatum nutmegged the defender."""
14,"""Dougie Hamilton hit the buzzer beater."""
15,"""Frederik Andersen crossed the blue line in the Stanley Cup."""
16,"""Freddie Freeman watched the pitch go by."""
17,"""Adam Thielen scored in added time."""
18,"""Tom Brady converted the first down."""
19,"""Giorgio Chiellini committed a handball in the FA Cup."""
20,"""Tyreek Hill caught the screen pass."""
21,"""Frederik Andersen took a three."""
22,"""Adam Thielen got on base."""
23,"""Gerard Pique scored a corner kick."""
24,"""Kailer Yamamoto performed a slide tackle in the European Cup."""
25,"""Corbin Burnes earned an indirect kick."""
26,"""LaMelo Ball launched the half court shot in the Western Conference Finals."""
27,"""Jonas Valanciunas beat the buzzer."""
28,"""Zach LaVine  shot the puck."""
29,"""Nazem Kadri took a charge in the NBA Championship."""
30,"""Delon Wright went for it on fourth down."""
31,"""Malcolm Brogdon banked the shot in."""
32,"""Michael Conforto comitted a three second violation."""
33,"""Jakub Vrana hit a walkoff homer."""
34,"""Tom Wilson scored a penalty kick."""
35,"""Aleksander Barkov passed the puck."""
36,"""Malik Beasley  comitted a three second violation."""
37,"""Draymond Green threw a touchdown."""
38,"""T.Y. Hilton threw a touchdown in the AFC divisional round."""
39,"""Robert Woods converted the first down."""
40,"""Julian Edelman fumbled the ball."""
41,"""Neymar took a backhand shot in the Stanley Cup."""
42,"""Jonathan Marchessault scored on the power play in the Stanley Cup."""
43,"""Fred VanVleet scored a freekick in the Champions League Final."""
44,"""Santi Cazorla called for the screen."""
45,"""Edinson Cavani caught the screen pass."""
46,"""DJ Chark caught the back shoulder fade in the NFC divisional round."""
47,"""Petr Cech bricked the three pointer."""
48,"""Michael Porter Jr. called for the screen."""
49,"""Robert Lewandowski threw a touchdown."""
50,"""Philip Rivers launched a hail mary."""
51,"""Drew Brees went for it on fourth down."""
52,"""Kevin Durant hit a walkoff homer."""
53,"""Santi Cazorla earned a red card in the Champions League Final."""
54,"""Ryan Tannehill hit a triple."""
55,"""Gleyber Torres got a base hit."""
