Unnamed: 0,input
159,Question: Elanor lies. Millicent says Elanor tells the truth. Millie says Millicent lies. Michaela says Millie tells the truth. Kandi says Michaela lies. Does Kandi tell the truth?
82,Question: Elanor lies. Tamika says Elanor lies. Ka says Tamika tells the truth. Shaunda says Ka lies. Conception says Shaunda lies. Does Conception tell the truth?
147,Question: Delfina lies. Teressa says Delfina lies. Amberly says Teressa tells the truth. Ryan says Amberly lies. Millie says Ryan lies. Does Millie tell the truth?
45,Question: Sima tells the truth. Yoland says Sima lies. Amberly says Yoland tells the truth. Inga says Amberly lies. Alexis says Inga tells the truth. Does Alexis tell the truth?
54,Question: Fletcher tells the truth. Ka says Fletcher tells the truth. Elanor says Ka lies. Vernell says Elanor lies. Delfina says Vernell tells the truth. Does Delfina tell the truth?
72,Question: Millicent lies. Shenna says Millicent lies. Willian says Shenna tells the truth. Kandi says Willian lies. Vernell says Kandi lies. Does Vernell tell the truth?
1,Question: Kristian lies. Sherrie says Kristian lies. Delbert says Sherrie lies. Jerry says Delbert tells the truth. Shalonda says Jerry tells the truth. Does Shalonda tell the truth?
107,Question: Ryan tells the truth. Shaunda says Ryan tells the truth. Leda says Shaunda lies. Teressa says Leda lies. Christie says Teressa tells the truth. Does Christie tell the truth?
213,Question: Teressa lies. Sal says Teressa tells the truth. Delbert says Sal tells the truth. Tamika says Delbert tells the truth. Gwenn says Tamika tells the truth. Does Gwenn tell the truth?
127,Question: Christie lies. Jaymie says Christie lies. Lorine says Jaymie tells the truth. Bernita says Lorine tells the truth. Delfina says Bernita lies. Does Delfina tell the truth?
20,Question: Raymond tells the truth. Sal says Raymond lies. Alexis says Sal lies. Helene says Alexis lies. Elanor says Helene lies. Does Elanor tell the truth?
166,Question: Gwenn tells the truth. Lorine says Gwenn lies. Antwan says Lorine tells the truth. Elanor says Antwan tells the truth. Delfina says Elanor tells the truth. Does Delfina tell the truth?
93,Question: Sima tells the truth. Jim says Sima lies. Gwenn says Jim tells the truth. Phoebe says Gwenn tells the truth. Rashida says Phoebe lies. Does Rashida tell the truth?
66,Question: Sima tells the truth. Michaela says Sima lies. Leda says Michaela tells the truth. Fletcher says Leda lies. Vina says Fletcher tells the truth. Does Vina tell the truth?
119,Question: Jim tells the truth. Ryan says Jim tells the truth. Millicent says Ryan tells the truth. Audrie says Millicent tells the truth. Elanor says Audrie tells the truth. Does Elanor tell the truth?
153,Question: Helene tells the truth. Leda says Helene lies. Antwan says Leda tells the truth. Andree says Antwan lies. Shaunda says Andree lies. Does Shaunda tell the truth?
94,Question: Jamey tells the truth. Delfina says Jamey lies. Vina says Delfina tells the truth. Teressa says Vina tells the truth. Conception says Teressa lies. Does Conception tell the truth?
130,Question: Lorine lies. Osvaldo says Lorine lies. Alejandro says Osvaldo lies. Gwenn says Alejandro tells the truth. Dallas says Gwenn lies. Does Dallas tell the truth?
228,Question: Conception lies. Shenna says Conception tells the truth. Maybelle says Shenna tells the truth. Michael says Maybelle lies. Amberly says Michael lies. Does Amberly tell the truth?
185,Question: Leda lies. Millicent says Leda tells the truth. Rashida says Millicent lies. Maybelle says Rashida tells the truth. Shaunda says Maybelle lies. Does Shaunda tell the truth?
161,Question: Sima tells the truth. Jerry says Sima tells the truth. Sal says Jerry lies. Inga says Sal lies. Willian says Inga lies. Does Willian tell the truth?
26,Question: Leda tells the truth. Alexis says Leda lies. Sal says Alexis lies. Phoebe says Sal tells the truth. Gwenn says Phoebe tells the truth. Does Gwenn tell the truth?
138,Question: Helene tells the truth. Raymond says Helene lies. Andree says Raymond tells the truth. Michael says Andree tells the truth. Amberly says Michael tells the truth. Does Amberly tell the truth?
217,Question: Michael lies. Jerry says Michael tells the truth. Delbert says Jerry tells the truth. Sima says Delbert lies. Alexis says Sima lies. Does Alexis tell the truth?
205,Question: Sima lies. Maybelle says Sima tells the truth. Audrie says Maybelle lies. Leda says Audrie tells the truth. Shaunda says Leda lies. Does Shaunda tell the truth?
123,Question: Bernita lies. Jerry says Bernita tells the truth. Delbert says Jerry lies. Jamey says Delbert tells the truth. Shenna says Jamey lies. Does Shenna tell the truth?
248,Question: Fletcher tells the truth. Alexis says Fletcher lies. Jerry says Alexis lies. Elanor says Jerry tells the truth. Jim says Elanor lies. Does Jim tell the truth?
52,Question: Andree lies. Amberly says Andree tells the truth. Gwenn says Amberly tells the truth. Willian says Gwenn lies. Alexis says Willian tells the truth. Does Alexis tell the truth?
88,Question: Helene tells the truth. Lorine says Helene lies. Raymond says Lorine tells the truth. Ka says Raymond tells the truth. Christie says Ka tells the truth. Does Christie tell the truth?
239,Question: Shaunda tells the truth. Maybelle says Shaunda tells the truth. Lorine says Maybelle lies. Millie says Lorine tells the truth. Vina says Millie tells the truth. Does Vina tell the truth?
216,Question: Kandi lies. Millie says Kandi tells the truth. Lorine says Millie tells the truth. Michaela says Lorine tells the truth. Amberly says Michaela lies. Does Amberly tell the truth?
180,Question: Jerry tells the truth. Jaymie says Jerry tells the truth. Elanor says Jaymie tells the truth. Helene says Elanor tells the truth. Sherrie says Helene tells the truth. Does Sherrie tell the truth?
85,Question: Bernita tells the truth. Audrie says Bernita lies. Delfina says Audrie tells the truth. Vina says Delfina lies. Sal says Vina tells the truth. Does Sal tell the truth?
6,Question: Shalonda lies. Teressa says Shalonda tells the truth. Tamika says Teressa lies. Lorine says Tamika tells the truth. Jaymie says Lorine lies. Does Jaymie tell the truth?
134,Question: Millicent tells the truth. Willian says Millicent lies. Crista says Willian lies. Teressa says Crista tells the truth. Rashida says Teressa tells the truth. Does Rashida tell the truth?
76,Question: Conception tells the truth. Teressa says Conception lies. Sal says Teressa tells the truth. Fidel says Sal tells the truth. Shenna says Fidel lies. Does Shenna tell the truth?
